sentiment,content
happiness,"Just taking my dad in law for a Sunday stroll down Old Leigh  a beautiful morning, say Hi to Morris LOL  http://twitpic.com/4wt8k"
happiness,"@penguinsnews Go Pens go, Gino Wins it for the Pens"
sadness,My back is soooooo hurting.
anger,My Boss is in Las Vegas on the 14th A.P.P. Conference.......pfff
anger,@ericludzenski Fuck you
sadness,@epic_zorz_peep count yourself lucky i was gonna say the OTHER word instead...and rsvp...sorry i cant come to ur birthday...day?
sadness,nomatter how much i sleep am still tired  either going to sleep early or late....
happiness,@BB517 @mespptc Yeah I'm okay been icing and ace bandage and sitting on my @$$ on twitter... LOL Thanks
sadness,@gillianre no they didn't!
anger,The new resigned cricinfo : http://tinyurl.com/mxlcuvI hate change
anger,"Stupid jobs, idk what to do."
sadness,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
anger,@AdamRPhoto ow shitttt i cant come get drunk ihave to go to a photo shoot in portsmouth or sumfink  owwwwwwwwwwwww
happiness,long weekend is over... looking forward to end of May then
anger,I knew there was a reason I hated cars! 1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!
sadness,"@steve_merchant I agree, but teenage daughter will be spending my money on the movie of their concert this week."
anger,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more"
sadness,"@Nextman305 I wish, but nah babe back I home in the ATL"
anger,"Okay, so the only reason I'm not buying this app is because I hate EA and all that it stands for. SimCity rocks though.  http://is.gd/JpMM"
sadness,Gonna have to have arthroscopy to repair my knee
neutral,"Going to i don't know where with taylor,dolton,jacob, chris and my sister."
neutral,Searching for wavy hairstyle
anger,"Oh, fuck me. I've just returned from the Supermarket Of Doom to find that I have nothing to drink here."
happiness,Come join the fun as I through out the first pitch at the Legends game... May 16th @ 7 pm!   http://tinyurl.com/6nkpuz
anger,"@DinkyShop Oh yeah, and a few will say she went too far, and it'll all end up putting her back on top, where she belongs."
neutral,"@OMSVU ... Thanks Okiebud!  I get the message..Sorry, the content you selected is not currently available.."
anger,@Fnoo John and I just bought four boxes of them
anger,@chregu block this IE6 shit
neutral,Again.. check out http://www.myspace.com/therealfunkymonkey  ....these guys rock this one too  ? http://blip.fm/~5jkbc
neutral,I don't like when my g1 changes.    I feel like google should send me an email and tell me all the things they're gunna do to my phone.
neutral,@glennlunder Yep. Wasn't that much to play with though. Just install and voilï¿½! It works  But you need a fast connection...
neutral,I forgot I moved 100 east...make that 8 hours home.
neutral,Would like some Nutella. None to be had
happiness,@vixx1983 haha so the whole worlds there then lol
neutral,Watching Ace of Cakes
sadness,.....headache
anger,@DanielFielding Same! And big moths and wasps and just insects in general HAHA I hate them
neutral,good morning!
anger,@Natalie_McLife yeah that is the one thing i hate about tweetdeck
neutral,night nurse!! :S
happiness,wants to go to walmart. but won't go alone
neutral,"@MckMama Why are you scared of the mouse? If you can figure out *why* you're scared, maybe you can deal with your fear."
sadness,@TheReal_RedBone stop that babe u makin me feel very bad now! :/
sadness,Lookin' at spreadsheets so long my eyes are crossing...
anger,Headed to Chicago for my cousin's wedding. Leaving at 5pm on a Friday was a horrible idea. Sitting stopped in traffic
neutral,"@wendy_fred6 I haven't canceled my account yet and I haven't logged in since november I think, maybe I Should  My main was a rogue, lvl73"
neutral,@sexybrandy well... I don't drink!
happiness,I have just been to see the Jonas Brothers 3D movie with @maze  was funny NO ONE else was there  hahah can't... http://tinyurl.com/magcwo
neutral,Now I remembered the password
neutral,@DavidArchie so what cereal do you usually like?
sadness,"@shiv379 Try have a read of the Paul Mckenna book I Can Make You Thin, it has some good advice on how bad traditional &quot;diets&quot; are"
sadness,Have been rolling on the bed for the past 2 hours ... Still unable to sleep
sadness,Bit down in the dumps today    Such an awful day !  Maybe good time to write a song   (Y)
neutral,Twitter connected with FAcebook   http://twitter.com/paynetsystems &amp; http://tinyurl.com/dagmoq
happiness,"@laermer yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously"
anger,I totally forgot thats its friday till I read @AlyssaNoelleD's tweet. Ha. I feel dumb  *Take A Breath*
anger,"On way to exam, very very nervous  bah"
neutral,@justinmcintosh Ugh
sadness,http://twitpic.com/66xjl - An hour in the sun turned me into a blancmange. Sucks to be pale
happiness,Goodnight peoples!
anger,I'm really mad at the world today. Today is just a sucky day.
happiness,@avgs I like only the james bond series. Thats what a spy movie is!
sadness,my twitter says it needs a break  i'll be back in a bit (capacity??)
neutral,still cant figure this twitter thing out on my phone.  i dont have the iphone.
sadness,"Chris Pine, Zachary Quinto, and Leonard NImoy on SNL tonight was quite possibly the most fun I've had geeking out in a long time."
neutral,@piginthepoke sounds like a plan
happiness,@khodgkin1 Oh! Good idea about putting them on ice cream
happiness,job hunting. yay.....
happiness,want food too
neutral,"@gregmottola I believe that is true, FML is quite the phenomenon...all thx to Superbad"
neutral,@egstrup nice
neutral,@MCRsavedMilife me too
sadness,Can't sleep but is happy that the Fugees are keeping him company
happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
sadness,"@jdpeterson I say the same about poems. When you are ready to write, &quot;nothing else matters&quot; as a well known song tells us"
happiness,Whoever u are and wherever u go always remember where u come from
sadness,flipping out on my hairloss....gotta go to the doc.
sadness,"so, why the hell are we going to school for 2 hours next monday and tuesday...dumb snow days and thier lame rules...my mom making me go"
anger,@donutpower ... Kirby playing mario kart? ... Umm ... Donut? Are you sure you're in the right mindset?
happiness,@BrisvegasLukass yes I do! I'll try posting some pics when I can
happiness,@thereallilza  wut itell u yesterday lol
happiness,"I'm making my mommy her Mother's day present, I love her"
anger,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane"
happiness,@Rapetzel Haha! Thanks! It's the inane grin from grading. Some students have been really fascinating this semester
sadness,@BadAsh77 got it i'll send you an email in a lil bit i have a lot to say
anger,"Think it may be time for a  lemsip soon, having a cold really sucks"
sadness,I have too much homework to do today
anger,As predicted i feel lyk shit  gahh i hate bein ill!! At wrk tweet lata xx
sadness,Exhausted but happy  supercool gig at Love amazing crowd amazing club so happy to be there! Now off to sleep for a few hours
sadness,"happy birthday to my little sister gee! in celebration, have an article"
anger,"I'm so sick, it's ridiculous."
neutral,says from now it will be impossible to Plurk from work  system administrators closed the access in the firew... http://plurk.com/p/x25jw
sadness,What's worse than a fever and sore throat? Cancelling a trip to see your little bro because of a fever and sore throat.
sadness,"@MiaLotta why do u feel shit? Nerves? I tripped over that plastic telescope at 6:40 am yesty, I fell into the wall my head still hurts"
happiness,well being a retired drummer I can do my own drum roll so all you need to do is read my posts since they take a ton of time  lol
sadness,"no run today...     tomorrow, I'll take Lilly (the lab) and shoot for 7."
neutral,gymnastics time.  My last night for teaching Friday evening classes.   New summer schedule starts next week.
happiness,via @cornellfinch: Found #geocache Head's Up! http://coord.info/gc1ret6. Probably my only find of the day.  http://bit.ly/JS3S4
neutral,"@nocas jï¿½ estou a ver que sim  , aqui - http://en.wikipedia.org/wiki/Mother's_day#Dates_around_the_world"
happiness,@camerontdf Happy Birthday  Hope you enjoyed us singing to you Wednesday &lt;3
anger,&quot;you think yo shit don't smell? but you are mrs. P-u&quot; Lil Wayne sounds the same in ALL his songs
happiness,@RaptheRenegade all good! Take a rest
happiness,"Omg,... just had the best roast ever! but now im full haha,.."
happiness,"Celebrated 18,000 plays on Last.fm with Dez Moines by #tdwp http://bit.ly/GWUHX"
neutral,@SocialVibe I have a FACEBOOK but I use MYSPACE and TWITTER the most. I hardly check my Facebook..
anger,@anz_rocks19  i have to break the twitterparty... im off home soon
happiness,"chatting with some of my old classmates, hellyeah fun but we have some of very weird conversation haha. @dyankaaa hello? bbm lo error ya?"
happiness,@davorkapozgan CongratulationS. Great funky site! U did it waaw
sadness,@heavenlykevinly You go to sleeeeeeepz
sadness,@MattyP_654  it's this damp weather...
anger,@IsoBan ... i hate it so much.
anger,Walmart bails on sponsorship!
sadness,@RIngram08 glad u feel like cooking I'm so tired
sadness,feels disappointed..mahirap talaga mag-supervise ng tao..  http://plurk.com/p/wxqwa
neutral,"http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?"
sadness,@ilyChrisBreezy lol awww lol i will i can't do it now lol cauz i have to work  but i will make one and tell you love you 2 oxoxoteambreezy
happiness,"reviews done, 30 new sentences, 100+ iknow done wow on a role"
neutral,@Tazz602 you're a big man for embracing your tears
sadness,"If Hamilton gets a hockey team, I really think the name Hamilton should be in the team name. If not, I'll be sad."
happiness,"@selenagomez bananabrain2 got hit by a car and got screwed! : O, 32 oepn wounds, a broken finger, broken toe (both toe and nail) f**ed up"
happiness,LOL OMG @MissKeriBaby replied back to me out of all ppl!! THX
neutral,Sacramento does not have nice weather. Sacramento has dry and hot weather. I hear it's raining in LA.
happiness,"still working on my mom's mothers day gift....shh, its a slideshow"
anger,Our plane had landed!! FINALLY gonna get to board...an hour late.  stupid rain!!!
sadness,@itsgabbith hMm well at least you got them out! Sorry about it though  wish you could keep them in!!!
happiness,Hey had some fun with friends !!!!!Now cleaning
neutral,I give in to easily
sadness,"@queetsss thanks babe. I guess I will find the right person one day, til then I'm better off alone"
anger,"I hate traffic. Dallas is nothing, but traffic!"
anger,@iaingilmour I queue for cake standing up and with a slight look of deranged anticipation on my face.
sadness,now watching kill bill vol. 1  i love movies so much.
neutral,"@BuddyThePuggy Poor Buddy, being teased by mini puggy  I think what you need is a #PUGHUG"
sadness,I guess you're not talking about Orlando Magic @whoiskenan! There was nothing magical about it
anger,i bit my lip...hate it when i do that.
anger,studying for this bullshit econ test
anger,"1 of my most hated jobs. Clipping coupons &amp; going thru house, top 2 bottom &amp; making grocery list. Took forever &amp; now major shopping trip"
happiness,@jonasbrothers http://twitpic.com/4qpzx - i love you guys  you're the best
sadness,@burrrbank ah wait! we can only go if you can get us to and from cos my mom's tires are nonlong distance till she can buy some new ones.
happiness,on my way home from school  lol in my car and so tired!
happiness,"@tabithalynnne lmao, yep"
happiness,@slashfilm peter!! follow me!! oh and have fun in europe!
neutral,@SAROAR  Trudat... I even have my own peppermint syrup from Starbucks.
sadness,tonights been boring!
sadness,@LoveisTrain it drained my energy
anger,I hate packing
neutral,"@SteveLangton Yes, they clearly relished acting together, sparking off each other's performance. And milking all the laughs!"
happiness,Star Trek was so good Im seeing it a third time...corse I do work at the movie theator
anger,I can't sleep ugh!! and I have shit to do all damn day tomorrow. Wanting to take a sleeping pill but I know Ill get up late
sadness,@Barely Got it! Your in the rundown.
neutral,"@laerwen I'll try that, thanks"
anger,i never knew a dentention was so hard 2 get
sadness,Waiting on the bus! I miss my car
sadness,Is Bored. Waiting Till 7:06 To Go Out To Tha Bus
happiness,@larainefan She does especially Pink ones LOL  What beautiful creatures they are!
anger,They are unloading a Leopard Tank just next to my office window. Hope I didn't piss off anyone
anger,i hate i hate i hate i hate i hate i hate mother's day.
happiness,@longnu Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
anger,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
happiness,@iimJacko O dear! HE'S HERE! OMGOGMGO.. U didn't see that I was going to fuck u..?
sadness,@farah_n_pete you do a terrible job of hiding it.
anger,@rebeccarem I am on here..finally. AND YAY. seriously. that made my day oh fellow hell ruler
happiness,finally got out of a 12 km traffic jam. we'll probably not be able to make it in time for a few laps tonight
anger,Geez I'm hating bein at work till 10 on a day like this I feel like its a wasted lovley day
happiness,lucky to be where i belong
happiness,Awww I wanted to see some more of Greg
happiness,"@ChesterBaker not so awesome now, huh? LOL"
neutral,@FreyaLynn @donniewahlberg yep! jimmy buffett FTW!!!... jimmy needs to tweet his words of wisdom every morning
neutral,@alexcox13 shut up  you know what! oll just like zack again then.
sadness,i reeaally miss my cosito  hope hes getting good scores!
neutral,going out for dinnerr soon. thai
happiness,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.
anger,@DeJonGrant I accidentaly slammed my finger in the trunk
neutral,On the train now. I forgot by charger  that means no whoshere for me today till I get home haha!  but I'd still tweet u guys! xxx
sadness,&quot;your true theatre calling? - musical theatre actor&quot;  i wish :'( xxx
neutral,surfing twitter!
happiness,"@Gaethe Lol, yes  Hence my wanting to watch more!"
sadness,@MaXXXimumMyra I am lost. Please help me find a good home.
anger,We bought a pool instead of going to California. Now the pool is broken and we have wasted our vacation money for the next 2-3 years.
happiness,"Good morning Tweepsland! Makin' it a great Monday! Huge shout out to all my followers .. muah, muah! I appreciate you all"
neutral,@flyingnutcase That just means you were not trying hard enought
neutral,@TeresaHonoursMC goodmorning/night to you too! sleep well
neutral,@OGBERRY rain
anger,stuck in huge traffic jam
anger,why the fuck am I on twitter!!!
anger,@playspymaster I want an invite - sick of seeing all these links for people playing and being left out
sadness,"@Japumpy I need botox work on the lips if I'm going to change my name to Angelina Jolie, but it's a thought! Sad though about the racism"
neutral,"I want tuna &amp; salmon sashimi, B.C. rolls and dragon eye."
happiness,i want to sleep XD !!!! but i have a song in my head that make me crazy and dont know if i write the song or not hahhaha
neutral,"@UndressJess Wish could, but riding a tour from Chicago back to Iowa."
neutral,"If all goes according to plan, you CSE RFID guinea pigs should have a bitchin FF extension to play with by the end of this week"
neutral,@calvinharris is this really calvin harris
sadness,@FoOie yea just fun dive..a bit scary sometimes but fun.  u like diving?
neutral,i should be &quot;bus stalking&quot; right now..i soo wish i were still meeting @jordanknight today
neutral,White House joins social networking sites &gt; http://bit.ly/15Fo4X - better late than never
neutral,@nzbeks word......funeral....just had one 2day
happiness,"Going home, see you at night in local time"
sadness,I'm so sad that Cage on Daisy of Love went home this week  him crying made me tear up a bit..
happiness,Tonight was fun. Love my girl Tanna!
anger,@WoWInsider I would be playing my old rogue but a friend took the account and could not get it back
neutral,watching it rain
happiness,@Chocolatito ahhh!! haha ... thanks for clarifying
happiness,Guys. Just got someone with saran wrap. Tuesdays video shall be awesome
sadness,"Being involved in requirements and architecture is nice and all, but now I'm looking forward to writing some code!"
neutral,"where are all ma bestfriends at ? , MIA or wat ?"
anger,@xxlaurenbeexx aha yeah  all else fails just push  yeah we are dont know what time were leaving yet though xx
neutral,chili cheese fries a bad idea for lunch..
sadness,@jesamine Here's a more appropriate @ tweet... is everything ok  Your last 3 days of tweets don't paint a good picture :-C
anger,@simplyvanessa why you never answer me..  wath i say to you
neutral,"@khairul She's unassuming and unpretentious. She's just, as. I suppose that's why she's so endearing--because we can relate to her"
happiness,"Multiply's getting boring :| I wish Reichelle has twitter. @isaofoz, convince recruit herr, will ya?"
sadness,"@C_J_Stuart Unfortunately not yet, I am still without licence."
anger,@markbuchholz the non-Europers managed to dump the sun here! its gonna be a hot time now!
sadness,"Isss boredddd, gotta be up in the morningg"
sadness,I wish I was going to see @patmaine @johnmaine @garrettmaine @jaredmaine @kennedymaine today!! I'm sad I dont
sadness,"is upset, I left my phone at home again"
neutral,the live version is so much better  ? http://blip.fm/~79my3
neutral,I have to go to work now.
neutral,"@curioustwibbit Makes sense, I'd totally show off a girlfriend by asking her to wear her high school prom dress"
anger,i don't know !!
happiness,"@shortyyyy Thank you  I liked Joe's clothes' being ripped off and then Kevin screaming, &quot;Who are you!?!&quot; XD"
happiness,liz just left  aww it was so good to see her.
neutral,had a great day...and now I'm off to bed. tomorrow I'm back in sd
neutral,@db0y8199 lol thats the kind im eating!!
sadness,so we got our cap&amp;gowns today! senior year is coming to an end soo fayst!
neutral,lost at home depot  http://yfrog.com/13ti6j
neutral,"@iamfrances nope  i wasn't home went it was on but i will soon,"
anger,now cassidy is butcking that i am bitching lol cant ever win
anger,I hate thunder and lightning!
neutral,wishes he had realized his wife hadn't held onto the debit card before he took a long walk to get lunch and not after.  GRRR!
anger,"is on cloud 20 minus 11, razzle dazzle in amazement cuz he showed her heaven!"
neutral,@rilwis V?a cï¿½n m?c 800/day t?i qua
neutral,@tshein the iphone
sadness,@stereophonics http://twitpic.com/6714p - well done guys! I am gonna miss the tweets!
sadness,@BigHugClub that gets around the problem I had of doing it all myself  good idea.
sadness,Wheres my phone ?!
neutral,is TATTEDDDDD!!!!!!!!!!!!!
neutral,Writing out to tape.  #48hoursnz
happiness,cant wait to get home. i hate my job
anger,@chellemariee I have my 830 class  fuckin school! what time you work wed? if jade comes ima have to get her in antioch at amtrak.
happiness,is STILL sick. But still loves revenge and the possibility of more revenge to come
anger,The new resigned cricinfo : http://tinyurl.com/mxlcuv I hate change
anger,i JUST fucking cleaned the whole kitchen....and the asshole comes home &amp; is going to make a mess of it...my mom didn't even get to see it
sadness,So my lucky jade nacklace/matching earrings ain't so lucky. Lost an earring. Now the chain broke on pendant
neutral,adsense exchange rate 1 : 47.060 ($ : INR )
neutral,@zzerbe i'm on twitter! go me. i have no idea how to work it.
anger,"@EllipticEye  ....what did she EVER do to piss them off?    I thought you just meant casting-related wank, not more of that crap."
neutral,Ug. Full of cold and in a dark pub. Want to go outside
anger,"@niqa86 Yes bb  There are actually 2 of them, but the other one I don't really give a shit about."
sadness,@Absturbation yeah ... he was 0-3 and SCOREless tonight
neutral,anyone got an FFE account? if so.. add me
anger,"Stupid liars. Glad they are ignorant, because I had a blast!!"
happiness,@hotpants79 of course i really hope that this would be his real twitter page! that would be soo cool
anger,Dang! My voice wont came out! And my snots is covering all my tissues... DANGIT! I hate FLU!
neutral,@leepovey
sadness,@Shansgrl have a good nap. Sorry bout the dumby at work.
happiness,@Agent_M Thanks for remembering
neutral,Epicfail and Joseph in class... Very long liao
happiness,"alright, rawknroll.net live on radio23.org - next 2 hours of vivid spring to summer music  rawk on and enjoy!"
anger,My radiator boiled out
anger,@ACMcWhale I always feel guilty about it
happiness,@JonathanRKnight thank u sweetie! Can't wait to set sail with u next week
happiness,is at work...gettin paid to sit on my arse as there are no guests down yet!! mum is comin up after  eexcited
neutral,Im so just heading home
sadness,@laurenbreslin aww i know its my addiction!   awww i know sameee  !  its just more more more !
happiness,@TWLOHA http://twitpic.com/4uyn9 - I NEED THIS. RIGHT NOW. THIS IS ABSOLUTELY MINDDDD BLOWING  I love this. So much!
neutral,home bound for mothers day
anger,Walking to class. I hate not having a bike....especially mine.
neutral,@DeezDimplez LOL! That sucks
happiness,@alrapke the only thing is I'm not a chocolate fan  but the thought was yhere
happiness,"@princessdeleon AWESOME! It feels very fulfilling, doesn't it?  I'm gonna work on SOOOO many people over the summer! Totally excited!"
neutral,We should so go for the Cobra-Cam idea
sadness,"Finally watched the rest of The Guild Season 2. I always feel so sorry (and hopeful at the same time) for your char, @feliciaday"
anger,@_handz_ well you know those &quot;kind of guys&quot; are just idiots
neutral,@caitlandkawaii im a pleb  i had to take it out of the freezer.. and put it in the oven!
happiness,@LittleFletcher Awww you'll have to post a pic  I bet it'll look dead nice (y)
happiness,"@rkuang i know, right? i'm super-excited - i told y'all this is the busiest time of year for me"
sadness,@iamdiddy I need a hug cuz these garbage truck men keep driving next to me whistling and Im working too hard 2 graduate...
sadness,At the movies. . . About to watch Star Trek!
sadness,i'm bored @freakinspecial: hope your wlan will go today!
neutral,@ilicco I don't have an invite  i might try Mr P Bale for an invite
anger,"Im so angry right now .. today im not doind nothing and all my classmates yes  ,i think i will stay with my friend Mr.Computer .. hope not"
happiness,"@rebogard READY!!!!!  ... I've heard Bobo probobly 100 times , also BoboByeBye!!"
sadness,I'm feeling so weak and tired from seating down in front of the pc. I really need to study for my HA long quiz.
neutral,Im calling into Radio Disney now.i made it through but me being the idiot i am cut it off by accident...now its just ringing and ringing
happiness,"http://twitpic.com/4wl05 - I love this picture, hate this kid. But hey, he's looking at me...lol"
sadness,@kyluhtoots oops. Cy's place is too near. Trouble for me.
sadness,@Nololos yeah  just told Stanley its the only time I want to slap girls icky bitches encoraging bad behavior
sadness,"Didn't expect to have a car accident, then the pain kick in 4 days later"
sadness,"I need to go to ATL, mainly just to go to Ikea.  The stuff I want isn't available online."
anger,My new site is stuck in the Google sandpit now  Test of my skills until it comes back out!
anger,I made this huge revelation as I was doing the dishes( that everyone left for me) and now I totally forgot it. I hate when that happens.
sadness,@jovenatheart you never follow me I sad  LOL
sadness,can't keep eyes open....*shuts eyes*
neutral,"@rebecca_leigh Thank you,!  Just trying to stay in a positive head space to keep pushing through it all. How's things at your end?"
sadness,"@BuzzEdition You're welcome. Hey, have you sent love @CTK1 's way? In hospital today for surgery to sort old motorbike accident"
sadness,"@JNez I hear that, we've missed so many films due to insufficient fundage: Watchmen, Dark Knight, Star Trek."
anger,projects suck
neutral,Back to marking
sadness,Looks like I got a defective MacBook
sadness,"@geekandahalf I'm not donating sweetie, I was at the doctor."
happiness,"We did it last year right around the time The Black Parade is Dead! came out. Awesome times, man."
neutral,Kinda meant mother. Im giving props to @tonyabraham for taking us
sadness,Aww I have a tummy ache
anger,Friday has a whole different meaning when you have to work Saturday and Sunday
anger,"@cskly Kev, fuck off! I'm stuck in Westgate working"
neutral,@danishaw No. I won't be back until the 7th
sadness,"He can't fix it.   I guess I'll write until I get too bored then watch tv. Man, this is lame."
happiness,@Quizman15 thanks joeman!
anger,Can I get some gd news for gods sake
sadness,@CaityKaboom so sad i have to pay $60
happiness,"had a great time celebrating mother's day  to me, being a mom is the best job on earth!"
happiness,listening to David Archuleta album it's amazing
sadness,@solangeknowles And that's what makes you an amAzing MOTHER  HAPPY MOTHERS DAY SOLO!! LUV YA!!
sadness,rain rain go away.  had to cancel my pool plans! tragic.
sadness,Aww...  Pray for the arroyo family everyone!
sadness,down side = i have a seat by myself  loner. please be a starbucks there.
neutral,I cant watch anythgin till tonight
neutral,@popstop yeahhhh!
sadness,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work
happiness,"Well, it was very inspirative day. There's no room for design in todays schedule, so i'm heading to bed"
happiness,@esmeg Had one of the female servers tell her ass looks big in those pants. She will worry all night long Lol
neutral,Cleaning up the kitchen &amp;watching the Royals play
sadness,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
anger,ummm. no it didnt work so i guess im stuck with this uglyonee
happiness,@wamarineangel awwwwww  *hugs*
happiness,hi @blowmefool thanks for the follow  good luck with your friend? ha
happiness,"dad wants the computer, so I'd best be off  taking my lapity-topity to a mac specialist tomorrow, hopefully they make teh owwie go awayz"
anger,"oh no, gotta fillout more paperwork for my new job, daayum, this is going to take a while!"
happiness,i have a whole day planned for my mom today that i know she will love!
happiness,@kirstiealley It'd be nice but soon we'll have to Pay to Tweet
sadness,"nothing could get worse, or could it? if it did i think id be on the verge of killing myself or someone else, things are not good anymore"
sadness,Ahhhhhh I got stitches  I seriously cant wait to go to the beach! SUMMER HURRY UP!!!!!!
anger,Ugh i hate photobucket! an amazing place to edit pictures is: www.picnik.com  i use it alll the time.
sadness,No more Wiffleball..  Damn.
sadness,"Still unbelievably shocked about the firing of THE best radio personality, Martin Streek"
anger,People are just pisssing me offf. Ugh
neutral,its ROUND THREE TONIGHT!!
neutral,lol thats the highlight
sadness,doing my english essay (on r&amp;j...wtf) that i should have done a long time ago when it was assigned last thursday
sadness,is sad his new SB6 CD's got nicked
happiness,time to go to bed... and hopefully wake up to a better day  niiiiiiiights yall
sadness,Where is the sun!!
happiness,Had such a great weekend! Glad it's sunny out today
happiness,Getting one of our field vehicles cleaned. Looks like our action hero governor wants to give me another furlough day. How nice of him
anger,"@Xantiriad the music in the trailer was terrible imo, cheesy handbag house. I was expecting some dnb or hard house"
happiness,"Tonight, will be a good night  &lt;3"
happiness,"@patriciaco Youtube. ) Really awesome quality, actually."
neutral,@iHolleeee well now i do
neutral,@JackAllTimeLow oh mannn i'm gonna be there tomorroww
happiness,seniors done  5 more days!! woohoo!! going out for the night.
sadness,@KellyFahl Psych has to be better than neuro!  Or at least in a better part of town?  I miss you
anger,playing pet society
neutral,@BossTutie I said hi to u
sadness,sad.. Daniel is leaving Florida now.. just gave him a big hug
anger,Damn it's warm. Want to stay out the back garden to protect the doggie from the bastards next door.
sadness,That's more like it - 3rd  #fb
anger,@mahmood *cough* star trek *cough*
sadness,"Truck has bit the dust, don't know if I'll make the Mustangs game tomorrow"
anger,"Jason Mraz is still serenading me, while I read &quot;Judicial Supervision of Executive Action in the Commonwealth Caribbean&quot;.  BBL!"
happiness,morning prayer meeting  how AMAZING is the gift of prayer!!!  i'm completely buzzing this morning! In christ alone my hope is found!
sadness,"Just came back from watching Terminator Salvation @ Cathay. It's so-so only, not so much action  but I feel sorry for Marcus though."
happiness,Hello my lovely followers  love and peace from my house lolz We just need the weather!
anger,Aww.. I lost 3 followers.  FOLLOW ME !
neutral,I love cute texy messages. Especially when he calls me mandy
anger,@Esme_Cullen8 i hate the rain *laughs*. thanks *smiles* i miss her loads i couldnt stop crying before
happiness,spending the night with mom and Tommy.. just ordered Pizza Hut.. yum!
anger,@Ainz90 anyday! I hate living here!
neutral,How is everyone on this fine Monday?   what is everyone's opinion of the new Wolverine movie?
happiness,I hope everyone had a great weekend! I will be here on and off today as I have 2 important meetings today
anger,I hate the dentist
anger,There are bugs attacking my laptop
neutral,"all done., time to finally start shuting down"
sadness,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
sadness,Just talked to @samgrover's cute grandma on the phone.  She only speaks Hindi-not my best language-but somehow we manged
sadness,@Sam_Fenton i didnt even finish cleaning my room cuz i went to a party ahhhh  ITS STILL MESSY
neutral,I'm at work trying hard not to succumb to the &quot;Poor me&quot; mentality due to severe allergies.  Boo.
anger,@katecameron2002 o can't work that one out  pain in the ass them spammers
neutral,studying out of spite. whatever.. Wonderful unforgettable weekend with DC
sadness,"@ejhildreth I keep trying to invite @ShannonMorgan out, but I think she's afraid of me."
happiness,feels at home to be back at church
sadness,@bobbiepen LMAO!!! Man I was so bummed when she stopped braiding
happiness,Lan Poker is so much fun!!!!  Someone help me remember ki compre chal raha hai abhi!!!!
sadness,cupcakes gave me heartburn
happiness,happy mothers day. ekin sayang mak!!!
anger,I hate being yelled and sworn at
sadness,"I feel rather cheery, despite being stuck indoors all day revising"
sadness,@ameliapontes getting there sat afternoon I think. No costume yet  womp wompppppp
sadness,Heyya guys! does anyone know how to give formulas to create a sudoku? Please help
anger,Just look @ this hellacious desk...good grief  http://short.to/cevd
sadness,Migraining today--the naproxen sodium tablets I took are helping a little but my neck is now killing me.  Need my muscle relaxants
anger,Iï¿½ï¿½m home  I hate school! Now im going to do do something fun because I have very boring. I want to have something to eat  Soon back!
happiness,You never really stop loving someone. You just learn to try to live without them.
sadness,Big Sugar = yet another '90's bandwagon I was too late to get on. Next S&amp;D BNL should reunite them (kind of like they did for the Odds).
anger,"So... Things didn't work out as expected, well damm"
happiness,Feeeel like ima die! Now on my way to rainforest.  !! I need a girls spa day ASAP!
neutral,Just finished lunch...Subway Eat Fresh.......now gotta go back to work
sadness,"I will miss my City when we leave...priciness, pollution, panhandlers and all"
sadness,i love twitter
sadness,3 hours of sleep and a mild hangover = carelessness and the loss of a brand new ipod pouch
happiness,@sh4rkship thanks for the follow
neutral,Good morning ladies and Gents.  it's going to be an awesome day &quot;even though the weather is terrible&quot;
neutral,"@Astronick not really just leaving flat now, on the lookout for lunch  fancy having a wee stroll but dunno where... Oh well!"
sadness,I've recently gained this highly sad feeling when I say goodbye to someone who I won't see ever again. Even if I barely know them!
anger,@grizzmusic wheres the music mannnn!!?? my inbox is still empty
anger,@beachNZ yep nothing better
anger,Ugh!! Why isn't inFamous on xbox360!!!?? Fucking lame.. Its only on PS3..
neutral,#twpp ..still nw in trending topics..
anger,@LaKia unfortunately noy   my life suck this year.
happiness,"@NikiScherzinger Hi Nic, i was so excited to heard that PCD will perform in Jakarta. I hope u will visit my town, Bali as well. Love Ya !"
neutral,@emlevins
sadness,i changedd my background  its from picnik.
sadness,"Waiting for an email that will probably never arrive. ED later, Consti study after then hopeless bumming."
